Date,Open,Heigh,Low,Close,Volume,Adj Close,Average
1,0,0,0,0,0,-0.44487991357315937,0
2,0,0,0,0,0,0.8595788073006537,0
3,0,0,0,0,0,-0.5090522955001866,0
4,0,0,0,0,0,0.1479007297463469,0
5,0,0,0,0,0,-0.3649283265298107,0
6,0,0,0,0,0,0.2377877648601342,0
7,0,0,0,0,0,0.6598826054352972,0
8,0,0,0,0,0,-0.15702560011465294,0
9,0,0,0,0,0,-0.31283423736234056,0
10,0,0,0,0,0,0.4732453447238275,0
11,0,0,0,0,0,-0.4050080985022739,0
12,0,0,0,0,0,-0.28774820601575396,0
13,0,0,0,0,0,-0.006836284769843874,0
14,0,0,0,0,0,-0.3862251899996477,0
15,0,0,0,0,0,0.3212963205050031,0
16,0,0,0,0,0,-0.05220554188239676,0
17,0,0,0,0,0,0.010371841539822124,0
18,0,0,0,0,0,0.041305075963963045,0
19,0,0,0,0,0,0.16011342308331436,0
20,0,0,0,0,0,0.06914861265108135,0
21,0,0,0,0,0,-0.22950223988066504,0
22,0,0,0,0,0,-0.27730400377108144,0
23,0,0,0,0,0,0.01809704038913762,0
24,0,0,0,0,0,-0.5753521291590684,0
25,0,0,0,0,0,-0.20716474307051805,0
26,0,0,0,0,0,0.33673394293281805,0
27,0,0,0,0,0,-0.31674327030471333,0
28,0,0,0,0,0,-0.13963250249814424,0
29,0,0,0,0,0,-0.36216910709630795,0
30,0,0,0,0,0,-0.09550606197939246,0
31,0,0,0,0,0,-0.40376648006430094,0
32,0,0,0,0,0,-0.3273794667820528,0
33,0,0,0,0,0,-0.08935687411577992,0
34,0,0,0,0,0,-0.6859601937726658,0
35,0,0,0,0,0,-0.3842943817384042,0
36,0,0,0,0,0,-0.5756230119375796,0
37,0,0,0,0,0,-0.24312306678429588,0
38,0,0,0,0,0,-1.4556100320660166,0
39,0,0,0,0,0,0.08677750729437161,0
40,0,0,0,0,0,-0.3419760420608733,0
41,0,0,0,0,0,-0.47076383564241625,0
42,0,0,0,0,0,0.0014972795233717529,0
43,0,0,0,0,0,-0.8219518216913764,0
44,0,0,0,0,0,-0.9636090425514793,0
45,0,0,0,0,0,-0.800399039855828,0
46,0,0,0,0,0,-0.9722485929643312,0
47,0,0,0,0,0,-0.5414003663429601,0
48,0,0,0,0,0,-1.1451950592579014,0
49,0,0,0,0,0,-0.76834574044868,0
50,0,0,0,0,0,-0.6445111782115406,0
51,0,0,0,0,0,-0.6045006461235183,0
52,0,0,0,0,0,-0.6683688065245001,0
53,0,0,0,0,0,-0.5795062553001893,0
54,0,0,0,0,0,-0.9280114656959739,0
55,0,0,0,0,0,-1.0387858578264917,0
56,0,0,0,0,0,-0.9350776447562632,0
57,0,0,0,0,0,-0.8813594220168803,0
58,0,0,0,0,0,-0.7667942806245313,0
59,0,0,0,0,0,-1.2206272088612669,0
60,0,0,0,0,0,-1.3304337418404415,0
