Date,Open,Heigh,Low,Close,Volume,Adj Close,Average
1,0,0,0,0,0,-0.17207264981969267,0
2,0,0,0,0,0,-0.35305249146712797,0
3,0,0,0,0,0,-0.2751097811179216,0
4,0,0,0,0,0,0.07993744963079043,0
5,0,0,0,0,0,-0.37719178354098865,0
6,0,0,0,0,0,-0.26280407338081474,0
7,0,0,0,0,0,-0.29557786182077717,0
8,0,0,0,0,0,-0.12407626737763319,0
9,0,0,0,0,0,-0.5213846028966279,0
10,0,0,0,0,0,0.14539966622509798,0
11,0,0,0,0,0,0.3035988326244333,0
12,0,0,0,0,0,0.7006448564380038,0
13,0,0,0,0,0,0.27424582127700775,0
14,0,0,0,0,0,-0.08242413210840871,0
15,0,0,0,0,0,0.4611838764710265,0
16,0,0,0,0,0,0.012445326666846834,0
17,0,0,0,0,0,0.5195071601205263,0
18,0,0,0,0,0,-0.235530592656947,0
19,0,0,0,0,0,-0.04108058710490689,0
20,0,0,0,0,0,-0.004889325133433486,0
21,0,0,0,0,0,-0.10571007852575115,0
22,0,0,0,0,0,0.6608232907380772,0
23,0,0,0,0,0,0.2654305149823099,0
24,0,0,0,0,0,0.710840886648294,0
25,0,0,0,0,0,-0.28402511600406394,0
26,0,0,0,0,0,0.1879522962725482,0
27,0,0,0,0,0,0.09318280426352486,0
28,0,0,0,0,0,0.19587270949906602,0
29,0,0,0,0,0,-0.0878507986031613,0
30,0,0,0,0,0,0.4016772312426758,0
31,0,0,0,0,0,0.18493703059894612,0
32,0,0,0,0,0,0.7873646687917226,0
33,0,0,0,0,0,0.8621246417944776,0
34,0,0,0,0,0,0.10936480220284217,0
35,0,0,0,0,0,-0.033617794112718424,0
36,0,0,0,0,0,-0.06479375587759467,0
37,0,0,0,0,0,0.3479603328314966,0
38,0,0,0,0,0,0.5284772634481658,0
39,0,0,0,0,0,0.5350009402388297,0
40,0,0,0,0,0,0.6141377854709982,0
41,0,0,0,0,0,0.28087990030464327,0
42,0,0,0,0,0,-0.09286972094555479,0
43,0,0,0,0,0,0.583674171709277,0
44,0,0,0,0,0,0.9210342086688903,0
45,0,0,0,0,0,0.23909530361124126,0
46,0,0,0,0,0,0.8181309357875659,0
47,0,0,0,0,0,0.3715237523067365,0
48,0,0,0,0,0,0.8525178613890281,0
49,0,0,0,0,0,0.8526825916733992,0
50,0,0,0,0,0,1.0486857500590487,0
51,0,0,0,0,0,0.6966227251153347,0
52,0,0,0,0,0,0.7837201108517854,0
53,0,0,0,0,0,1.0256464853152396,0
54,0,0,0,0,0,0.7977607189296793,0
55,0,0,0,0,0,1.1607498321054832,0
56,0,0,0,0,0,0.669999391654805,0
57,0,0,0,0,0,1.0314268270960116,0
58,0,0,0,0,0,0.8922747152645712,0
59,0,0,0,0,0,1.4807452847997762,0
60,0,0,0,0,0,0.9740655844616671,0
