Date,Open,Heigh,Low,Close,Volume,Adj Close,Average
1,0,0,0,0,0,-0.02167472244097209,0
2,0,0,0,0,0,-0.20545691385959663,0
3,0,0,0,0,0,-0.11794969454020436,0
4,0,0,0,0,0,-0.22238056836291886,0
5,0,0,0,0,0,0.04913111044685446,0
6,0,0,0,0,0,-0.16221034812361398,0
7,0,0,0,0,0,0.0088355023956642,0
8,0,0,0,0,0,0.409217105571782,0
9,0,0,0,0,0,0.08211755661983244,0
10,0,0,0,0,0,-0.4629292166372903,0
11,0,0,0,0,0,0.3603759672689215,0
12,0,0,0,0,0,-0.24298010624445204,0
13,0,0,0,0,0,0.027620706279248577,0
14,0,0,0,0,0,-0.030786208721590103,0
15,0,0,0,0,0,-0.5597380201632304,0
16,0,0,0,0,0,0.25219298799706674,0
17,0,0,0,0,0,0.16714598734416722,0
18,0,0,0,0,0,-0.16770497160757988,0
19,0,0,0,0,0,0.2685104417803993,0
20,0,0,0,0,0,0.07241365927895652,0
21,0,0,0,0,0,-0.1097045040359494,0
22,0,0,0,0,0,-0.19954065753042388,0
23,0,0,0,0,0,0.3319017016254358,0
24,0,0,0,0,0,-0.4798236805313124,0
25,0,0,0,0,0,-0.18115507897482608,0
26,0,0,0,0,0,0.23419128122926347,0
27,0,0,0,0,0,0.1373274025322629,0
28,0,0,0,0,0,-0.4072614874582633,0
29,0,0,0,0,0,-0.11999950204394821,0
30,0,0,0,0,0,-0.774441711105648,0
31,0,0,0,0,0,-0.015673905379651853,0
32,0,0,0,0,0,-0.6075788830293135,0
33,0,0,0,0,0,0.09109209473723368,0
34,0,0,0,0,0,-0.39703147733700744,0
35,0,0,0,0,0,-0.29860972109224637,0
36,0,0,0,0,0,-1.1881150295269927,0
37,0,0,0,0,0,0.09609301402396903,0
38,0,0,0,0,0,-0.15446834673508983,0
39,0,0,0,0,0,-0.6702567756246258,0
40,0,0,0,0,0,-0.8930929814453195,0
41,0,0,0,0,0,-0.5505510807653426,0
42,0,0,0,0,0,-0.17604989154076295,0
43,0,0,0,0,0,-0.5979311853433855,0
44,0,0,0,0,0,-0.5138337884856358,0
45,0,0,0,0,0,-0.2061789067416277,0
46,0,0,0,0,0,-0.3579107435923612,0
47,0,0,0,0,0,0.06575788500074953,0
48,0,0,0,0,0,-0.7243586117368133,0
49,0,0,0,0,0,-0.25257773787632537,0
50,0,0,0,0,0,-0.5623972971547563,0
51,0,0,0,0,0,-0.273689938536607,0
52,0,0,0,0,0,-1.000317227583867,0
53,0,0,0,0,0,-1.414958134245515,0
54,0,0,0,0,0,-0.5414834782226354,0
55,0,0,0,0,0,-0.9875730985969317,0
56,0,0,0,0,0,-0.17388170623482457,0
57,0,0,0,0,0,-1.1112982943756686,0
58,0,0,0,0,0,-0.6025135472123152,0
59,0,0,0,0,0,-0.9667112123612422,0
60,0,0,0,0,0,-1.548427370066142,0
