Date,Open,Heigh,Low,Close,Volume,Adj Close,Average
1,0,0,0,0,0,-0.8751485385264945,0
2,0,0,0,0,0,0.7212205733038517,0
3,0,0,0,0,0,0.7184774151552238,0
4,0,0,0,0,0,-0.014564781051307388,0
5,0,0,0,0,0,0.13526138056855797,0
6,0,0,0,0,0,0.10557768209789346,0
7,0,0,0,0,0,0.2702299817929169,0
8,0,0,0,0,0,0.45367149113656496,0
9,0,0,0,0,0,-0.10471758069794616,0
10,0,0,0,0,0,0.8362980147813662,0
11,0,0,0,0,0,-0.7865662980723143,0
12,0,0,0,0,0,-0.4283898399345501,0
13,0,0,0,0,0,-0.03370201854038241,0
14,0,0,0,0,0,-0.32352604095900783,0
15,0,0,0,0,0,0.5657222997248681,0
16,0,0,0,0,0,0.07117704224085253,0
17,0,0,0,0,0,0.3696355434347492,0
18,0,0,0,0,0,0.22310768703489597,0
19,0,0,0,0,0,-0.8341798793924734,0
20,0,0,0,0,0,-0.7018683703434245,0
21,0,0,0,0,0,0.6097460789021393,0
22,0,0,0,0,0,0.95789878042449,0
23,0,0,0,0,0,0.7244684436944686,0
24,0,0,0,0,0,-0.6940825343617812,0
25,0,0,0,0,0,0.38113146383319735,0
26,0,0,0,0,0,0.7890009874330266,0
27,0,0,0,0,0,-0.4185380549630804,0
28,0,0,0,0,0,-0.3209356256059206,0
29,0,0,0,0,0,-0.13213092186101275,0
30,0,0,0,0,0,0.20261394516371795,0
31,0,0,0,0,0,1.478045551882347,0
32,0,0,0,0,0,1.0544690681550168,0
33,0,0,0,0,0,-0.3525855272966865,0
34,0,0,0,0,0,-0.6708186105180517,0
35,0,0,0,0,0,0.09562878309655454,0
36,0,0,0,0,0,0.6348549404548709,0
37,0,0,0,0,0,-0.24905572193314682,0
38,0,0,0,0,0,0.14040450300692728,0
39,0,0,0,0,0,-0.5599117955255837,0
40,0,0,0,0,0,0.27319229954161695,0
41,0,0,0,0,0,0.5824843537787181,0
42,0,0,0,0,0,-0.6298831495596642,0
43,0,0,0,0,0,-0.31756581310556964,0
44,0,0,0,0,0,-0.4027631838510712,0
45,0,0,0,0,0,-0.6629025878779671,0
46,0,0,0,0,0,-0.37151326173351507,0
47,0,0,0,0,0,-0.4472086778972934,0
48,0,0,0,0,0,-0.39770578284865293,0
49,0,0,0,0,0,-0.08211642555370838,0
50,0,0,0,0,0,0.44569672587815196,0
51,0,0,0,0,0,0.540559640900692,0
52,0,0,0,0,0,-0.25734265768105125,0
53,0,0,0,0,0,0.34601067499578214,0
54,0,0,0,0,0,-0.03291834968848081,0
55,0,0,0,0,0,0.09287838771290313,0
56,0,0,0,0,0,0.4783225003486356,0
57,0,0,0,0,0,-0.38958435865388213,0
58,0,0,0,0,0,0.28543164977564445,0
59,0,0,0,0,0,0.23893113947347,0
60,0,0,0,0,0,-0.08744669061551842,0
